class;name;compo;mz;std;
Cer;C32H55NO3;Cer 32:5_O2;502.4255;no;
Cer;C32H57NO3;Cer 32:4_O2;504.4411;no;
Cer;C32H61NO3;Cer 32:2_O2;508.4724;no;
Cer;C32H63NO3;Cer 32:1_O2;510.4881;no;
Cer;C32H65NO3;Cer 32:0_O2;512.5037;no;
Cer;C34H59NO2;Cer 34:5_O;514.4618;no;
Cer;C31H63NO4;Cer 31:0_O3;514.483;no;
Cer;C34H65NO3;Cer 34:2_O2;536.5037;no;
Cer;C34H67NO3;Cer 34:1_O2;538.5194;no;
Cer;C34H69NO3;Cer 34:0_O2;540.535;no;
Cer;C36H73NO2;Cer 36:0_O;552.5714;no;
Cer;C34H69NO4;Cer 34:0_O3;556.5299;no;
Cer;C36H67NO3;Cer 36:3_O2;562.5194;no;
Cer;C36H69NO3;Cer 36:2_O2;564.535;no;
Cer;C36H71NO3;Cer 36:1_O2;566.5507;no;
Cer;C36H73NO3;Cer 36:0_O2;568.5663;no;
Cer;C37H73NO3;Cer 37:1_O2;580.5663;no;
Cer;C38H73NO3;Cer 38:2_O2;592.5663;no;
Cer;C38H75NO3;Cer 38:1_O2;594.582;no;
Cer;C38H77NO3;Cer 38:0_O2;596.5976;no;
Cer;C39H77NO3;Cer 39:1_O2;608.5976;no;
Cer;C40H77NO3;Cer 40:2_O2;620.5976;no;
Cer;C40H79NO3;Cer 40:1_O2;622.6133;no;
Cer;C40H81NO3;Cer 40:0_O2;624.6289;no;
Cer;C41H81NO3;Cer 41:1_O2;636.6289;no;
Cer;C41H73NO4;Cer 41:5_O3;644.5612;no;
Cer;C42H79NO3;Cer 42:3_O2;646.6133;no;
Cer;C42H81NO3;Cer 42:2_O2;648.6289;no;
Cer;C42H83NO3;Cer 42:1_O2;650.6446;no;
Cer;C42H85NO3;Cer 42:0_O2;652.6602;no;
Cer;C43H83NO3;Cer 43:2_O2;662.6446;no;
Cer;C42H83NO4;Cer 42:1_O3;666.6395;no;
Cer;C43H77NO4;Cer 43:5_O3;672.5925;no;
Cer;C44H85NO3;Cer 44:2_O2;676.6602;no;
Cer;C45H79NO3;Cer 45:6_O2;682.6133;no;
Cer;C42H79NO6;Cer 42:3_O5;694.598;no;
Cer;C41H77NO7;Cer 41:3_O6;696.5773;no;
Cer;C45H79NO4;Cer 45:6_O3;698.6082;no;
GluCer;C38H71NO8;HexCer 32:2_O2;670.5252;no;
GluCer;C38H73NO8;HexCer 32:1_O2;672.5409;no;
GluCer;C39H75NO8;HexCer 33:1_O2;686.5565;no;
GluCer;C40H75NO8;HexCer 34:2_O2;698.5565;no;
GluCer;C40H77NO8;HexCer 34:1_O2;700.5722;no;
GluCer;C40H79NO8;HexCer 34:0_O2;702.5878;no;
GluCer;C41H79NO8;HexCer 35:1_O2;714.5878;no;
GluCer;C42H77NO8;HexCer 36:3_O2;724.5722;no;
GluCer;C42H79NO8;HexCer 36:2_O2;726.5878;no;
GluCer;C42H81NO8;HexCer 36:1_O2;728.6035;no;
GluCer;C42H83NO8;HexCer 36:0_O2;730.6191;no;
GluCer;C43H83NO8;HexCer 37:1_O2;742.6191;no;
GluCer;C44H83NO8;HexCer 38:2_O2;754.6191;no;
GluCer;C44H85NO8;HexCer 38:1_O2;756.6348;no;
GluCer;C44H87NO8;HexCer 38:0_O2;758.6504;no;
GluCer;C45H85NO8;HexCer 39:2_O2;768.6348;no;
GluCer;C45H87NO8;HexCer 39:1_O2;770.6504;no;
GluCer;C46H85NO8;HexCer 40:3_O2;780.6348;no;
GluCer;C46H87NO8;HexCer 40:2_O2;782.6504;no;
GluCer;C46H89NO8;HexCer 40:1_O2;784.6661;no;
GluCer;C46H91NO8;HexCer 40:0_O2;786.6817;no;
GluCer;C47H87NO8;HexCer 41:3_O2;794.6504;no;
GluCer;C47H89NO8;HexCer 41:2_O2;796.6661;no;
GluCer;C47H91NO8;HexCer 41:1_O2;798.6817;no;
GluCer;C48H89NO8;HexCer 42:3_O2;808.6661;no;
GluCer;C48H91NO8;HexCer 42:2_O2;810.6817;no;
GluCer;C48H93NO8;HexCer 42:1_O2;812.6974;no;
GluCer;C49H93NO8;HexCer 43:2_O2;824.6974;no;
